name,total_km2,land_km2,water_km2
Alaska,1723337,1477953,245384
Texas,695662,676587,19075
California,423967,403466,20501
Montana,380831,376962,3869
New Mexico,314917,314161,757
Arizona,295234,294207,1026
Nevada,286380,284332,2048
Colorado,269601,268431,1170
Oregon,254799,248608,6191
Wyoming,253335,251470,1864
Michigan,250487,146435,104052
Minnesota,225163,206232,18930
Utah,219882,212818,7064
Idaho,216443,214045,2398
Kansas,213100,211754,1346
Nebraska,200330,198974,1356
South Dakota,199729,196350,3379
Washington,184661,172119,12542
North Dakota,183108,178711,4397
Oklahoma,181037,177660,3377
Missouri,180540,178040,2501
Florida,170312,138887,31424
Wisconsin,169635,140268,29367
Georgia,153910,148959,4951
Illinois,149995,143793,6202
Iowa,145746,144669,1077
New York,141297,122057,19240
North Carolina,139391,125920,13471
Arkansas,137732,134771,2961
Alabama,135767,131171,4597
Louisiana,135659,111898,23761
Mississippi,125438,121531,3907
Pennsylvania,119280,115883,3397
Ohio,116098,105829,10269
Virginia,110787,102279,8508
Tennessee,109153,106798,2355
Kentucky,104656,102269,2387
Indiana,94326,92789,1537
Maine,91633,79883,11750
South Carolina,82933,77857,5076
West Virginia,62756,62259,497
Maryland,32131,25142,6990
Hawaii,28313,16635,11678
Massachusetts,27336,20202,7134
Vermont,24906,23871,1035
New Hampshire,24214,23187,1027
New Jersey,22591,19047,3544
Connecticut,14357,12542,1816
Delaware,6446,5047,1399
Rhode Island,4001,2678,1324
District of Columbia,177,158,19
Puerto Rico,13791,8868,4924
Northern Mariana Islands,5117,472,4644
US Virgin Islands,1898,348,1550
American Samoa,1505,198,1307
Guam,1478,543,935
